,Title,Year,Actors
0,Miss Peregrine's Home for Peculiar Children,2016,"Eva Green, Samuel L. Jackson, Judi Dench, Rupert Everett, Allison Janney, Chris O'Dowd, Terence Stamp, Ella Purnell, Finlay MacMillan, Lauren McCrostie, Hayden Keeler-Stone, Georgia Pemberton, Milo Parker, Raffiella Chapman, Pixie Davies, Joseph Odwell, Thomas Odwell, Cameron King, Louis Davison, Kim Dickens, O-Lan Jones, Aiden Flowers, Nicholas Oteri, Helen Day, Philip Philmar, Jack Brady, Scott Handy, Jennifer Jarackas, George Vricos, Brooke Jaye Taylor, Cameron Greco, Ella Wahlestedt, Andrew Fibkins, Jack Fibkins, Nicholas Amer, Ioan Hefin, Shaun Thomas, Justin Davies, Nicholas McGaughey, Lynn Hunter, Ben Roberts, Dafydd Hywel, Sophia Tailor, Harry Taylor, Dan Mersh, James Kermack, Steve Money, Christine Dalby, Badria Timimi, Francesca Bennett, Brendon Berg, Lee Bolton, Neil Broome, Jill Buchanan, Tim Burton, Jennifer Catford, Stuart Davidson, Pamela DeAbreu, Tristan Dougherty, Richard Douglas, Julie Eagleton, Stephanie Eccles, Isobel Eveleigh, Dino Fazzani, Daniel Ferguson, Elle Gabriel, Marty L. Gallinari, Tyler Gary, Chris Groundsell, Guna Gultniece, Veronica Hilburn, Kornelia Horvath, Jowan Jacobs, Nenaa Jo, Nicole Lauren, Mary Leonard, Keith Lomas, Erik Lunseth, Khristopher MacLeod, Jim Main, Joanne Manchester, Matt Marlowe, Elizabeth McCafferty, Louise McIntyre, Andrew Nile, Gustavo Perez, Gloria Peñaranda, Bryson Powers, Lance Raab, James Michael Rankin, Jason Redshaw, Donald R Rice, Madison Rotondi, Bianca Rudman, Megan Sanderson, Jen Sharlow, Nicola Simonds, Sophia Talbot, Jackson Tessmer, Vic Waghorn, Robert Milton Wallace, Patricia Winker"
1,A Brilliant Young Mind,2014,"Rafe Spall, Sally Hawkins, Eddie Marsan, Jo Yang, Martin McCann, Jake Davies, Alex Lawther, Alexa Davies, Orion Lee, Edward Baker-Close, Percelle Ascott, Suraj Rattu, Jamie Ballard, Clare Burt, Adam Foster, Lee Zhuo Zhao, Shannon Beer, Tasha Connor, Lawrence Jeffries, Ciaran Wakefield, Song-Hung Chang, Bo-Han Huang, Karl Ng, Lewis Adams, Jessica Arden, Lee Bolton, Jason Thomas Brown, Leo Chell, Colin Coombs, Paul J. Dove, James Frost, Joseph Myers, Mick Slaney, Patricia Winker"
2,Then Came You,2018,"Maisie Williams, Nina Dobrev, Ken Jeong, Tyler Hoechlin, David Koechner, Peyton List, Tituss Burgess, Sonya Walger, Margot Bingham, Colin Moss, Briana Venskus, Ron Simons, Angel Valle Jr., L. Steven Taylor, Francesca Noel, Ann Osmond, Ken Tsukada, Crystal Tweed, Terri Gittens, Obada Adnan, Ashlyn Alessi, Lorenzo Beronilla, Dj Nino Carta, Amber Heldreth-Miller, Rosemary Howard, Joseph Kolakowski, Sydney Veronica Lee, Ann Lucente, Nicole Molinski, Billy Thomas Myott, Thomas Racek, John Romeo, Robert Wells"
3,Ten Thousand Saints,2015,"Henry Kelemen, Julianne Nicholson, Ethan Hawke, Avan Jogia, Nadia Alexander, Hailee Steinfeld, Emily Mortimer, Austin Ramsey, Jeff O'Donnell, Matthew James Ballinger, Emile Hirsch, Tracy Westmoreland, Warren Kelly, Ellie Bensinger, Thomas Hettrick, Eric Elizaga, Cass Dillon, Michael Elian, Calista Bourinaris, Gaura Vani Buchwald, Doyal Gauranga Das, Giacomo Sumner, Lauren Milberger, Gil Porter, Charlotte Ubben, Moore Theobald, Eva Kaminsky, Brett Berg, Kevin Cannon, Christopher Chabriel, Ryan Curtis, Barbara Ann Davison, Matthew L. Imparato, Macey Kurtz, Pedro Marcelino, Skyler Marshall, Claudio Encarnacion Montero, Nancy Ellen Shore, Krista Tunnell, Lawrence Whitener"
4,The Boy in the Striped Pajamas,2008,"Zac Mattoon O'Brien, Domonkos Németh, Henry Kingsmill, Vera Farmiga, Cara Horgan, Zsuzsa Holl, Amber Beattie, László Áron, David Thewlis, Richard Johnson, Sheila Hancock, Charlie Baker, Iván Verebély, Béla Fesztbaum, Attila Egyed, Rupert Friend, David Hayman, Jim Norton, Jack Scanlon, László Nádasi, László Quitt, Mihály Szabados, Zsolt Sáfár Kovács, Gábor Harsai, Julia Papp"
5,Nanny McPhee Returns,2010,"Maggie Gyllenhaal, Oscar Steer, Lil Woods, Eros Vlahos, Rosie Taylor-Ritson, Daniel Mays, Rhys Ifans, Maggie Smith, Sinead Matthews, Katy Brand, Emma Thompson, Bill Bailey, Ewan McGregor, Sam Kelly, Nonso Anozie, Ralph Fiennes, Ed Stoppard, Toby Sedgwick, Lauren Barrand, Julie Eagleton, Robert Ireland, Nathan Robinson, Gillian Steventon"
6,The Space Between Us,2017,"Gary Oldman, Janet Montgomery, Trey Tucker, Scott Takeda, Adande 'Swoozie' Thorne, Sarah Minnich, Ryan Jason Cook, BD Wong, Lauren Chavez-Myers, Morse Bicknell, Beth Bailey, Peter Chelsom, Carla Gugino, William Sterchi, Anthony Jarvis, Britt Robertson, Zacciah Hanson, Jesse Romero, Tim D. Janis, Kristen DeVore Rakes, Aurora Antonio, Bruce McIntosh, Lora Martinez-Cunningham, David House, John-Paul Howard, Logan Paul, Luce Rains, Esodie Geiger, Charles Arnone, Stafford Douglas, Travis Armstrong, Matthew Page, Mia Stallard, David Devereaux, Jacob Browne, Jenny Gabrielle, Gil Birmingham, Bernardo Saracino, Eli Goodman, Nate Warren, Ramona King, Drago Sumonja, Colin Egglesfield, Eb Lottimer, Ramsey Scott, Adrian Acosta, Ector Joel Acosta, Lluvia Almanza, Rick Anglada, Luis Ricardo Anzures, Nathaniel Augustson, Brian Barela, Heather Bash, Todd Bethke, Derek Blakeney, Steven Ray Byrd, Kurt Capalbo, Humberto Castro, Jon Erik Castro, Stephen Conn, Marika Day, Angela Marie Duncan, Rob Estrada, Daniel Garcia-Flores, Joey Graceffa, Rene Herrera, Alan Humphrey, Vincent Jeffers, Jamie H. Jung, Harrison Kavanaugh, Thomas Kemp, Shawn Lecrone, Kelly V. Lucio, Matt Maestas, Cesar Miramontes, Gustavo Montes, Victoria L. Moya, Johnny Palomarez Jr., Anastasia Peralta, Francisco Peramos, Edsel Pete, Kyle Pierson, Frank Powers, Josh Relic, David Robbins, Clayton Salberg, Lorraine Sanchez, Alma Sisneros, Amy Emily Stack, Irene Taylor, Aaron Templeton, Jennifer Ugochukwu, Gregory Paul Valdez, Jerry Walker, David White, Evan Wilcox, Danny Winn"
7,Slaughterhouse Rulez,2018,"Margot Robbie, Michael Sheen, Simon Pegg, Finn Cole, Hermione Corfield, Nick Frost, Jo Hartley, Jamie Blackley, Tom Rhys Harries, Kit Connor, Alex Macqueen, Hanako Footman, Isabella Laughland, Jassa Ahluwalia, Jane Stanness, Lee Charles, Neil Pendleton, Ryan Oliva, Max Raphael, Rohan Gotobed, Lucy Appleton, Nick Kellington, Louis Strong, Zaak Conway, Charles M. Baker, Harry Isherwood, Sam Redland, Melanie Light, Sophie Rutter, John Kinory, Alhaji Fofana, Thomas Farrow-Tomson, Tobias Cordes, Remi-Lawal Abiola, Jack Webb, Joshua Squire, Kian Hunt, Steve Broad, Aron Jackson, Connor Allbright, James Woodroffe, Ben Wheeler, Charles Evans, Cory Chambers, Alan Drake, Mateusz Kobylec, Rohan Parmar, Charles Mann, Ted Day, Levi Masoet, Robbie White, Charlie Fitzherbert, Toby M George, Ben Davies-Adams, Lee Brown, Gary Golding, Robert Booth, Mengqi He, Alice Hutson, Nia Rees, Kevin Doxey, Kristen Smith, Drew Casson, Bern Collaço, Sam Ettleman, Craig MacPhee"
8,The House of Tomorrow,2017,"Alex Wolff, Nick Offerman, Ellen Burstyn, Fred Armisen, Maude Apatow, Debbie Aderinkomi, Emmylou Barden, Halle Chambers, David Krug, Edduar Peralta Carmen, Tyra Ramsey, Jack Reinhardt, Jack Tholen, Jaylene Yang, Jon Tester, Taylor Harris, Adam Bubolz, Michaela Watkins, Alec George, Shelley Dowdy, Senay Matewos, Paul Cram, Ansa Akyea, Dawn Orgon, Buckminster Fuller, Karla Alvarez, Joseph Bezenek, Josh Cisewski, Erik Egelkraut, Ryan J. Gilmer, Brian Grossman, Jake Hinkley, Jennifer Kelzenberg-Shea, Matt Lindholm, Anna Molenaar, Kristin Payne, Valerie Rose, Gwen Ruhoff, KC Schomas, Aaron Schwab, Steven Segel II, Dallas Hildie Smith"
9,Journey's End,2017,"Paul Bettany, Sam Claflin, Stephen Graham, Tom Sturridge, Alaïs Lawson, Andy Gathergood, Jack Riddiford, Adam Colborne, Elliot Balchin, Theo Barklem-Biggs, Derek Barr, Nicholas Agnew, Rupert Wickham, Miles Jupp, Toby Jones, Jake Curran, Jack Holden, Tom Ward-Thomas, Harry Jardine, Oliver Dimsdale, Robert Glenister, Will Adamsdale, Eirik Bar, Rose Reade, Mark Allen, Cameron Beaton, Jean Luc Ellis De Boos, Luke Fitchett, Gary Hancock, Pickles Hayward, George Howarth, John Kempson, Rob Kidd, Dickie Knight, Harry Mariani, Ash McNeil, Trevor Poole, Bob Skinner, Dave Tate, Francis Thurston-Crees, Andrew Upton, Tugg Wilson, Huy Truong, Chi Chiu Lee, Rex Phillips Dibb, Hal Phillips Dibb, Moe Phillips Dibb, Mathieu Szymkowiak, Laurent Andruet, Martyn Hillyard"
10,Greed,2019,"Caroline Flack, Steve Coogan, David Mitchell, Isla Fisher, Sarah Solemani, Manolis Emmanouel, Shanina Shaik, Giannis Gryparis, Jonny Sweet, Asim Chaudhry, Shirley Henderson, Tim Key, Miles Jupp, Jamie Blackley, Lewis Andrews, Will Smith, Paul Clayton, Enzo Cilenti, Natasha Joseph, Jack Shepherd, Joe Tucker, Kevin Cruze, Mahesh Dharmarathna, Dominic Kellar, Sumith Jayalath, Christophe de Choisy, Sophie Cookson, Ollie Locke, Pearl Mackie, Dinita Gohil, Charlie Cooper, Kareem Alkabbani, Sherine Mahmoud, Richard Attlee, Harry Tayler, Ben Hickey, Frida Mosse-Williams, David Cann, Richard Betts, Alice Bell, Mark Sheals, James Blunt, Georgie Grier, Jessica Fostekew, Paul Higgins, Michael Simkins, Tasos Zouganelis, Inoka Damayanthi, Suranga Ranawaka, Rory Philip-Gunnion, Giannis Samolados, Andy Penfold, Natalie Gill, Gerry Trew, Kristie Barton-Grimley, Robert Lamberti, Matt Bentley, Sophie Long, Martine Croxall, Richard Rycroft, Ravin J. Ganatra, Stephen Fry, Pixie Lott, Norman Cook, Pierre Bergman, Frank Bryance, Jill Buchanan, Stuart Cooke, Richard Curtis, Stephen Evans, Lana Ish-Muhametova, Terry Jay, Polly Kemp, Kate Margo, Chris Martin, Martyn Mayger, Richard Price, Keith Richards, Peter Trevor, Bianka Vago, Louis Walsh, Josh Ward, Lucas Young"
11,Ender's Game,2013,"Harrison Ford, Hailee Steinfeld, Abigail Breslin, Ben Kingsley, Viola Davis, Aramis Knight, Suraj Partha, Moises Arias, Khylin Rhambo, Jimmy 'Jax' Pinchak, Nonso Anozie, Conor Carroll, Caleb J. Thaggard, Cameron Gaskins, Stevie Ray Dallimore, Andrea Powell, Brandon Soo Hoo, Kyle Clements, Wendy Miklovic, Jasmine Kaur, Han Soto, Edrick Browne, Tony Mirrcandani, Christopher Coakley, Chase Walker, Gavin Hood, Joseph Angelette, Clayton Barth, Alex Bartz, Noëlle Renée Bercy, Blake Burt, Matt Cipro, Cameron Fachman, Dawson Fletcher, Brandon Guttuso, Kelvin Harrison Jr., Jessica Harthcock, King Hoey, Elton LeBlanc, Jacob Leinbach, Ty Parker, Malik Peters, Giovanni Silva, Griffin Smith, Hunter Stansberry, Yung Swizz'Agg, Joseph Uzzell"
12,Time Freak,2018,"Sophie Turner, Skyler Gisondo, Will Peltz, Aubrey Reynolds, Jillian Joy, Joseph Park, Caden J. Gregoire, Cassie Williams, Coral Chambers, Joey Miyashima, Rebecca Flinn-White, Mark Blockovich, Mary Elizabeth Boylan, Kami Christiansen, Nicole Duke, Christopher Escalante, Gerry Garcia, Cameron Harford, Ariel Jean, Andrew L. McClain, Jose Abraham Robledo, Hero J. Thomas"
13,Hugo,2011,"Ben Kingsley, Sacha Baron Cohen, Chloë Grace Moretz, Ray Winstone, Emily Mortimer, Christopher Lee, Helen McCrory, Michael Stuhlbarg, Frances de la Tour, Richard Griffiths, Jude Law, Kevin Eldon, Gulliver McGrath, Shaun Aylward, Emil Lager, Angus Barnett, Edmund Kingsley, Max Wrottesley, Marco Aponte, Ilona Cheshire, Francesca Scorsese, Emily Surgent, Lily Carlson, Frederick Warder, Christos Lawton, Tomos James, Ed Sanders, Terence Frisch, Max Cane, Frank Bourke, Stephen Box, Ben Addis, Robert Gill, Mihai Arsene, Lasco Atkins, Catherine Balavage, Gintare Beinoraviciute, Doc Butler, James Currie, Graham Curry, Amanda Dyar, Guinevere Edwards, Eric Haldezos, Michael Hennessy, Vera Horton, Elliot James, Kostas Katsikis, Helen Kingston, Hugo Malpeyre, Eric Moreau, Ed Pearce, Gino Picciano, Michael Pitt, Paul Redfern, Martin Scorsese, Brian Selznick, Nick Shaw, Paul Simmons, Jane Staiano"
14,The Wolfman,2010,"Simon Merrells, Gemma Whelan, Emily Blunt, Benicio Del Toro, Mario Marin-Borquez, Cristina Contes, Anthony Hopkins, Art Malik, Malcolm Scates, Nicholas Day, Michael Cronin, David Sterne, David Schofield, Roger Frost, Rob Dixon, Clive Russell, Oliver Adams, Geraldine Chaplin, Emil Hostina, Rick Baker, Emily Cohen, Jessica Manley, Dave Fisher, Olga Fedori, Hugo Weaving, Lorraine Hilton, Antony Sher, John Owens, Barry McCormick, Jordan Coulson, Ian Peck, Richard James, David Keyes, Shaun Smith, Jake Nightingale, C.C. Smiff, Anthony Debaeck, Waseem Abbas, Alex Andreou, Debbie Attwell, Piotr Baumann, Peter Paul Burrows, Elizabeth Croft, Kate Dion-Richard, Julie Eagleton, Matilda Fulljames, Salo Gardner, Andy Gathergood, Rich Goble, Richard Hansell, Sam Hazeldine, Michael Mansbridge, Mia McKenna-Bruce, Brigitte Millar, David Orpheus, Emily Parr, Dianne Pilkington, Robert Roman Ratajczak, Anthony Richard Rowe, Claude Starling, John Styles, Karim Theilgaard, Branko Tomovic, Max von Sydow, John Whitby, Christian Wolf-La'Moy"
15,Son of Rambow,2007,"Neil Dudgeon, Bill Milner, Jessica Hynes, Anna Wing, Will Poulter, Tallulah Evans, Emilie Chesnais, Paul Ritter, Finola McMahon, Rachel Mureatroyd, Taylor Richardson, Peter Robinson, Charlie Thrift, Jules Sitruk, Sam Kubrick-Finney, James Clarke, Zofia Brooks, Denise Orita, Eric Sykes, Ed Westwick, Lee Long, Adam Paul Harvey, Atila Emirali, Dave Shaw, Adam Godley, Adam Buxton, Edgar Wright, Imogen Aboud, Louise Jennings, Sam Spivack, Robert Styles, Clive Elkington, Natalie Hallam, Fran Healy, Jan Pinkava, Sylvester Stallone, Richard Styles"
